Book_Id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
pg8883,0.003923,-0.004519,0.006227,-0.011332,0.001984,-0.013353,0.024513,0.012654,-0.008956,0.019144,0.005069,0.000752,-0.017879,-0.010838,0.001316,-0.007137,-0.015397,0.013733,-0.0008,0.000896
pg9926,0.006513,-0.008256,0.010203,-0.016064,-0.002959,-0.007929,0.006902,-0.003563,-0.006648,-0.008906,-0.014703,0.006048,-0.020117,0.002893,-0.008666,-0.004616,0.032676,0.011037,-0.0032,0.029355
pg8464,-0.014587,-0.001781,-0.016979,-0.002711,-0.006865,0.008352,-0.018415,0.003539,0.006871,-0.0023,-0.000087,-0.014184,-0.007213,-0.008522,0.033487,-0.019024,0.017459,0.036731,0.006329,-0.0001
pg7757,-0.012462,0.001509,-0.023074,-0.00178,0.03038,-0.013545,-0.004007,0.001105,0.010889,-0.003255,-0.01403,0.008927,-0.013783,0.005146,-0.005313,-0.018924,0.020236,0.032228,0.011164,-0.011411
pg9387,-0.012271,0.000411,-0.014797,-0.006058,-0.005027,0.028076,-0.002193,-0.008337,0.007824,-0.02182,-0.015607,0.012527,-0.007363,0.008371,0.046154,0.012847,0.008786,-0.018898,-0.005506,-0.007119
pg8073,0.004811,-0.000127,-0.018481,-0.011166,-0.001362,-0.01552,-0.005466,0.000525,0.003126,0.029828,-0.005091,-0.003078,-0.00091,0.015572,0.044296,-0.010226,-0.017943,-0.00781,-0.002979,0.002001
pg8383,-0.014483,0.014978,-0.005665,0.018249,0.011098,0.002951,-0.002692,0.004608,-0.004424,-0.008406,-0.016334,-0.013401,0.01334,0.026373,0.039739,-0.015012,-0.008405,-0.02141,-0.012173,-0.00893
pg8865,-0.004466,0.005036,-0.003682,-0.00192,0.005386,0.024521,-0.018806,-0.006828,0.002831,0.008473,-0.003542,0.01344,-0.017811,-0.020115,0.039676,-0.019822,0.01444,0.005891,-0.014027,-0.008675
pg6901,0.004374,-0.010404,0.008996,-0.020495,-0.015202,0.020001,0.003609,0.001554,-0.00978,-0.000776,0.000789,-0.019905,0.037937,0.021296,-0.003535,0.016225,0.000451,-0.014998,-0.027638,0.007503
pg10379,-0.015046,0.002081,-0.015602,-0.019429,0.001437,0.024738,-0.003176,0.009675,-0.020058,-0.005883,0.043796,-0.021175,0.023709,0.016201,-0.010561,-0.009464,-0.003672,-0.018068,-0.000828,0.021325
pg8522,0.011701,0.006513,0.012227,-0.027626,0.014289,-0.004703,0.005828,0.001887,0.038576,0.007793,-0.032535,-0.013091,-0.006684,0.00588,-0.025267,-0.005831,-0.015079,0.035566,-0.003055,-0.006388
pg9362,-0.009254,0.004379,-0.010361,0.045367,0.013824,-0.007003,0.041397,-0.00356,-0.035749,-0.025744,-0.004426,0.01254,0.000659,0.001362,0.003429,-0.019564,-0.017004,-0.002671,0.017487,-0.005106
pg8182,-0.005234,0.00635,-0.02329,-0.018008,-0.005825,-0.004039,0.005449,-0.008646,0.051803,-0.016358,0.013297,0.023187,-0.008432,0.034671,-0.004623,0.013834,-0.004061,-0.003905,-0.019085,-0.027087
pg9849,-0.008057,0.003112,-0.014338,-0.006174,0.006755,0.009405,-0.030495,-0.004748,0.038897,-0.036276,-0.018695,0.00177,0.02614,0.043285,0.014476,-0.001386,-0.028751,-0.004376,0.014068,-0.004613
pg9311,0.003827,0.014121,-0.022572,0.013291,0.023693,-0.009767,-0.022896,-0.015773,0.042184,0.00518,0.00758,0.020083,0.007644,-0.031098,-0.001014,-0.01443,-0.025655,-0.015847,-0.012791,0.03424
pg10067,0.008266,-0.016186,0.027412,0.020131,-0.010521,0.004643,0.049607,-0.010871,-0.035586,0.001345,-0.019674,0.003386,-0.018013,-0.006165,-0.014931,-0.006289,0.006874,0.045166,0.006566,-0.035159
pg9052,-0.010132,-0.002704,-0.027272,0.00063,-0.021222,0.029436,0.055259,0.029236,0.015389,-0.023742,0.008242,-0.025583,0.005928,-0.000812,-0.035356,0.006375,0.007642,-0.028615,0.001522,0.01578
